
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether50.545             10.192.64.46    Down            Down     VRF_PS_CPUP
Bundle-Ether50.546             10.192.64.54    Down            Down     VRF_PS_CPUP
Bundle-Ether50.547             10.192.64.62    Down            Down     VRF_PS_CPUP
Bundle-Ether50.548             10.192.64.70    Down            Down     VRF_INT_01
Bundle-Ether50.549             10.192.64.78    Down            Down     VRF_INT_01
Bundle-Ether50.550             10.192.64.86    Down            Down     VRF_INT_01
Bundle-Ether50.551             10.192.64.94    Down            Down     VRF_INT_01
Bundle-Ether50.552             unassigned      Down            Down     VRF_INT_01
Bundle-Ether50.553             unassigned      Down            Down     VRF_INT_01
Bundle-Ether50.554             unassigned      Down            Down     VRF_INT_01
Bundle-Ether50.555             unassigned      Down            Down     VRF_INT_01
Bundle-Ether50.556             10.192.64.102   Down            Down     VRF_IMS 
Bundle-Ether50.557             10.192.64.110   Down            Down     VRF_IMS 
Bundle-Ether50.558             10.192.64.118   Down            Down     VRF_IMS 
Bundle-Ether50.559             10.192.64.126   Down            Down     VRF_IMS 
Bundle-Ether50.564             10.192.64.166   Down            Down     VRF_PS_CHARG
Bundle-Ether50.565             10.192.64.174   Down            Down     VRF_PS_CHARG
Bundle-Ether50.566             10.192.64.182   Down            Down     VRF_PS_CHARG
Bundle-Ether50.567             10.192.64.190   Down            Down     VRF_PS_CHARG
Bundle-Ether50.568             10.192.64.198   Down            Down     VRF_PS_MPBN
Bundle-Ether50.569             10.192.64.206   Down            Down     VRF_PS_MPBN
Bundle-Ether50.570             10.192.64.214   Down            Down     VRF_PS_MPBN
Bundle-Ether50.571             10.192.64.222   Down            Down     VRF_PS_MPBN
Bundle-Ether50.572             10.192.66.6     Down            Down     VRF_4G_SER
Bundle-Ether50.573             10.192.66.14    Down            Down     VRF_4G_SER
Bundle-Ether50.574             10.192.66.22    Down            Down     VRF_4G_SER
Bundle-Ether50.575             10.192.66.30    Down            Down     VRF_4G_SER
Bundle-Ether50.576             10.192.66.38    Down            Down     VRF_PS_CPUP
Bundle-Ether50.577             10.192.66.46    Down            Down     VRF_PS_CPUP
Bundle-Ether50.578             10.192.66.54    Down            Down     VRF_PS_CPUP
Bundle-Ether50.579             10.192.66.62    Down            Down     VRF_PS_CPUP
Bundle-Ether50.580             10.192.66.70    Down            Down     VRF_INT_02
Bundle-Ether50.581             10.192.66.78    Down            Down     VRF_INT_02
Bundle-Ether50.582             10.192.66.86    Down            Down     VRF_INT_02
Bundle-Ether50.583             10.192.66.94    Down            Down     VRF_INT_02
Bundle-Ether50.584             unassigned      Down            Down     VRF_INT_02
Bundle-Ether50.585             unassigned      Down            Down     VRF_INT_02
Bundle-Ether50.586             unassigned      Down            Down     VRF_INT_02
Bundle-Ether50.587             unassigned      Down            Down     VRF_INT_02
Bundle-Ether50.588             10.192.66.102   Down            Down     VRF_IMS 
Bundle-Ether50.589             10.192.66.110   Down            Down     VRF_IMS 
Bundle-Ether50.590             10.192.66.118   Down            Down     VRF_IMS 
Bundle-Ether50.591             10.192.66.126   Down            Down     VRF_IMS 
